[i] epoch : 0, D_loss : 0.97197, G_loss : 44.23491, G_fake_loss : 1.30407, G_style_loss : 42.93083, time : 38sec
[i] epoch : 1, D_loss : 0.47928, G_loss : 43.06967, G_fake_loss : 2.48037, G_style_loss : 40.58930, time : 34sec
[i] epoch : 2, D_loss : 0.49751, G_loss : 42.94341, G_fake_loss : 2.60990, G_style_loss : 40.33352, time : 34sec
[i] epoch : 3, D_loss : 0.47487, G_loss : 43.03614, G_fake_loss : 2.67080, G_style_loss : 40.36534, time : 34sec
[i] epoch : 4, D_loss : 0.50907, G_loss : 42.59903, G_fake_loss : 2.57925, G_style_loss : 40.01978, time : 34sec
[i] epoch : 5, D_loss : 0.50697, G_loss : 42.49413, G_fake_loss : 2.63024, G_style_loss : 39.86389, time : 33sec
[i] epoch : 6, D_loss : 0.53184, G_loss : 42.48489, G_fake_loss : 2.65060, G_style_loss : 39.83429, time : 34sec
[i] epoch : 7, D_loss : 0.51726, G_loss : 42.43737, G_fake_loss : 2.70343, G_style_loss : 39.73394, time : 34sec
[i] epoch : 8, D_loss : 0.54243, G_loss : 42.45284, G_fake_loss : 2.67728, G_style_loss : 39.77556, time : 34sec
[i] epoch : 9, D_loss : 0.55074, G_loss : 42.09518, G_fake_loss : 2.64682, G_style_loss : 39.44836, time : 34sec
[i] epoch : 10, D_loss : 0.55084, G_loss : 41.94294, G_fake_loss : 2.67669, G_style_loss : 39.26625, time : 34sec
[i] epoch : 11, D_loss : 0.55897, G_loss : 41.71441, G_fake_loss : 2.69661, G_style_loss : 39.01779, time : 34sec
[i] epoch : 12, D_loss : 0.54963, G_loss : 41.87296, G_fake_loss : 2.59297, G_style_loss : 39.27999, time : 34sec
[i] epoch : 13, D_loss : 0.56785, G_loss : 41.79453, G_fake_loss : 2.66854, G_style_loss : 39.12599, time : 34sec
[i] epoch : 14, D_loss : 0.56091, G_loss : 41.55870, G_fake_loss : 2.71254, G_style_loss : 38.84616, time : 34sec
[i] epoch : 15, D_loss : 0.56016, G_loss : 41.46243, G_fake_loss : 2.72521, G_style_loss : 38.73721, time : 34sec
[i] epoch : 16, D_loss : 0.54583, G_loss : 41.22704, G_fake_loss : 2.68218, G_style_loss : 38.54486, time : 34sec
[i] epoch : 17, D_loss : 0.54056, G_loss : 41.06680, G_fake_loss : 2.67658, G_style_loss : 38.39022, time : 34sec
[i] epoch : 18, D_loss : 0.55357, G_loss : 41.12936, G_fake_loss : 2.76935, G_style_loss : 38.36002, time : 34sec
[i] epoch : 19, D_loss : 0.55898, G_loss : 40.83641, G_fake_loss : 2.76993, G_style_loss : 38.06648, time : 34sec
[i] epoch : 20, D_loss : 0.56637, G_loss : 41.00254, G_fake_loss : 2.75543, G_style_loss : 38.24711, time : 34sec
[i] epoch : 21, D_loss : 0.57901, G_loss : 40.57253, G_fake_loss : 2.71731, G_style_loss : 37.85522, time : 34sec
[i] epoch : 22, D_loss : 0.57315, G_loss : 40.57046, G_fake_loss : 2.75643, G_style_loss : 37.81403, time : 34sec
[i] epoch : 23, D_loss : 0.57670, G_loss : 40.34374, G_fake_loss : 2.74155, G_style_loss : 37.60220, time : 34sec
[i] epoch : 24, D_loss : 0.56792, G_loss : 40.18992, G_fake_loss : 2.79898, G_style_loss : 37.39094, time : 34sec
[i] epoch : 25, D_loss : 0.53611, G_loss : 39.96658, G_fake_loss : 2.84952, G_style_loss : 37.11706, time : 34sec
[i] epoch : 26, D_loss : 0.59216, G_loss : 39.79292, G_fake_loss : 2.79803, G_style_loss : 36.99489, time : 34sec
[i] epoch : 27, D_loss : 0.56333, G_loss : 39.47625, G_fake_loss : 2.85981, G_style_loss : 36.61644, time : 34sec
[i] epoch : 28, D_loss : 0.56984, G_loss : 39.31643, G_fake_loss : 2.82676, G_style_loss : 36.48967, time : 34sec
[i] epoch : 29, D_loss : 0.56289, G_loss : 39.34585, G_fake_loss : 2.85969, G_style_loss : 36.48616, time : 34sec
[i] epoch : 30, D_loss : 0.55851, G_loss : 38.83163, G_fake_loss : 2.87642, G_style_loss : 35.95521, time : 34sec
[i] epoch : 31, D_loss : 0.54801, G_loss : 38.71494, G_fake_loss : 2.95840, G_style_loss : 35.75653, time : 34sec
[i] epoch : 32, D_loss : 0.55624, G_loss : 38.68663, G_fake_loss : 2.99139, G_style_loss : 35.69524, time : 34sec
[i] epoch : 33, D_loss : 0.55027, G_loss : 38.52876, G_fake_loss : 2.96586, G_style_loss : 35.56290, time : 34sec
[i] epoch : 34, D_loss : 0.53157, G_loss : 38.35498, G_fake_loss : 3.01828, G_style_loss : 35.33670, time : 34sec
[i] epoch : 35, D_loss : 0.56586, G_loss : 38.06884, G_fake_loss : 3.04662, G_style_loss : 35.02222, time : 34sec
[i] epoch : 36, D_loss : 0.54927, G_loss : 37.96003, G_fake_loss : 3.11741, G_style_loss : 34.84262, time : 34sec
[i] epoch : 37, D_loss : 0.53329, G_loss : 37.57602, G_fake_loss : 3.11914, G_style_loss : 34.45688, time : 33sec
[i] epoch : 38, D_loss : 0.56139, G_loss : 37.50709, G_fake_loss : 3.11681, G_style_loss : 34.39028, time : 33sec
[i] epoch : 39, D_loss : 0.54032, G_loss : 37.47943, G_fake_loss : 3.09606, G_style_loss : 34.38337, time : 33sec
[i] epoch : 40, D_loss : 0.51882, G_loss : 37.21717, G_fake_loss : 3.18999, G_style_loss : 34.02718, time : 33sec
[i] epoch : 41, D_loss : 0.52942, G_loss : 37.09141, G_fake_loss : 3.21570, G_style_loss : 33.87571, time : 33sec
[i] epoch : 42, D_loss : 0.51695, G_loss : 36.86479, G_fake_loss : 3.25828, G_style_loss : 33.60651, time : 33sec
[i] epoch : 43, D_loss : 0.52859, G_loss : 36.46237, G_fake_loss : 3.26101, G_style_loss : 33.20135, time : 34sec
[i] epoch : 44, D_loss : 0.52426, G_loss : 36.45477, G_fake_loss : 3.29385, G_style_loss : 33.16092, time : 33sec
[i] epoch : 45, D_loss : 0.49853, G_loss : 36.39041, G_fake_loss : 3.37470, G_style_loss : 33.01571, time : 33sec
[i] epoch : 46, D_loss : 0.51628, G_loss : 35.97261, G_fake_loss : 3.36768, G_style_loss : 32.60492, time : 33sec
[i] epoch : 47, D_loss : 0.48715, G_loss : 35.84503, G_fake_loss : 3.46192, G_style_loss : 32.38311, time : 33sec
[i] epoch : 48, D_loss : 0.50961, G_loss : 35.83976, G_fake_loss : 3.44339, G_style_loss : 32.39637, time : 33sec
[i] epoch : 49, D_loss : 0.49245, G_loss : 35.42173, G_fake_loss : 3.42102, G_style_loss : 32.00071, time : 33sec
[i] epoch : 50, D_loss : 0.49494, G_loss : 35.47154, G_fake_loss : 3.51401, G_style_loss : 31.95754, time : 33sec
[i] epoch : 51, D_loss : 0.47062, G_loss : 35.37900, G_fake_loss : 3.58570, G_style_loss : 31.79331, time : 33sec
[i] epoch : 52, D_loss : 0.50245, G_loss : 35.24421, G_fake_loss : 3.59041, G_style_loss : 31.65380, time : 33sec
[i] epoch : 53, D_loss : 0.47719, G_loss : 34.85916, G_fake_loss : 3.56701, G_style_loss : 31.29215, time : 33sec
[i] epoch : 54, D_loss : 0.45147, G_loss : 34.78524, G_fake_loss : 3.60969, G_style_loss : 31.17554, time : 33sec
[i] epoch : 55, D_loss : 0.50072, G_loss : 34.55398, G_fake_loss : 3.58802, G_style_loss : 30.96596, time : 33sec
[i] epoch : 56, D_loss : 0.47353, G_loss : 34.26310, G_fake_loss : 3.62315, G_style_loss : 30.63994, time : 33sec
[i] epoch : 57, D_loss : 0.50591, G_loss : 34.22952, G_fake_loss : 3.67123, G_style_loss : 30.55830, time : 33sec
[i] epoch : 58, D_loss : 0.46374, G_loss : 34.01176, G_fake_loss : 3.68691, G_style_loss : 30.32485, time : 33sec
[i] epoch : 59, D_loss : 0.47823, G_loss : 33.84015, G_fake_loss : 3.64586, G_style_loss : 30.19429, time : 33sec
[i] epoch : 60, D_loss : 0.46988, G_loss : 33.96115, G_fake_loss : 3.73170, G_style_loss : 30.22946, time : 33sec
[i] epoch : 61, D_loss : 0.47596, G_loss : 33.48521, G_fake_loss : 3.70409, G_style_loss : 29.78112, time : 33sec
[i] epoch : 62, D_loss : 0.46326, G_loss : 33.46208, G_fake_loss : 3.80216, G_style_loss : 29.65992, time : 34sec
[i] epoch : 63, D_loss : 0.48286, G_loss : 33.11501, G_fake_loss : 3.72720, G_style_loss : 29.38781, time : 34sec
[i] epoch : 64, D_loss : 0.47656, G_loss : 33.27221, G_fake_loss : 3.67886, G_style_loss : 29.59336, time : 34sec
[i] epoch : 65, D_loss : 0.45763, G_loss : 33.20248, G_fake_loss : 3.77571, G_style_loss : 29.42677, time : 34sec
[i] epoch : 66, D_loss : 0.50869, G_loss : 32.76183, G_fake_loss : 3.74488, G_style_loss : 29.01696, time : 34sec
[i] epoch : 67, D_loss : 0.46343, G_loss : 32.44816, G_fake_loss : 3.72254, G_style_loss : 28.72563, time : 33sec
[i] epoch : 68, D_loss : 0.43311, G_loss : 32.56083, G_fake_loss : 3.79967, G_style_loss : 28.76117, time : 33sec
[i] epoch : 69, D_loss : 0.46915, G_loss : 32.40924, G_fake_loss : 3.82136, G_style_loss : 28.58788, time : 33sec
[i] epoch : 70, D_loss : 0.47108, G_loss : 32.44876, G_fake_loss : 3.81498, G_style_loss : 28.63379, time : 33sec
[i] epoch : 71, D_loss : 0.48553, G_loss : 32.44102, G_fake_loss : 3.83394, G_style_loss : 28.60708, time : 33sec
[i] epoch : 72, D_loss : 0.45017, G_loss : 32.29944, G_fake_loss : 3.81669, G_style_loss : 28.48276, time : 33sec
[i] epoch : 73, D_loss : 0.41819, G_loss : 32.21281, G_fake_loss : 3.90283, G_style_loss : 28.30998, time : 33sec
[i] epoch : 74, D_loss : 0.48365, G_loss : 31.88386, G_fake_loss : 3.88707, G_style_loss : 27.99679, time : 33sec
[i] epoch : 75, D_loss : 0.44410, G_loss : 31.81956, G_fake_loss : 3.94379, G_style_loss : 27.87577, time : 33sec
[i] epoch : 76, D_loss : 0.43558, G_loss : 31.83842, G_fake_loss : 3.92204, G_style_loss : 27.91637, time : 33sec
[i] epoch : 77, D_loss : 0.44794, G_loss : 31.55572, G_fake_loss : 3.92318, G_style_loss : 27.63254, time : 33sec
[i] epoch : 78, D_loss : 0.47888, G_loss : 31.63712, G_fake_loss : 3.89431, G_style_loss : 27.74282, time : 33sec
[i] epoch : 79, D_loss : 0.43231, G_loss : 31.65150, G_fake_loss : 3.98751, G_style_loss : 27.66399, time : 33sec
[i] epoch : 80, D_loss : 0.46909, G_loss : 31.31098, G_fake_loss : 3.88576, G_style_loss : 27.42521, time : 33sec
[i] epoch : 81, D_loss : 0.42129, G_loss : 31.53757, G_fake_loss : 3.97690, G_style_loss : 27.56067, time : 33sec
[i] epoch : 82, D_loss : 0.50170, G_loss : 31.46662, G_fake_loss : 4.02584, G_style_loss : 27.44078, time : 33sec
[i] epoch : 83, D_loss : 0.41383, G_loss : 31.02607, G_fake_loss : 3.95641, G_style_loss : 27.06967, time : 33sec
[i] epoch : 84, D_loss : 0.44373, G_loss : 31.16830, G_fake_loss : 4.02047, G_style_loss : 27.14783, time : 33sec
[i] epoch : 85, D_loss : 0.46435, G_loss : 31.26083, G_fake_loss : 3.96861, G_style_loss : 27.29222, time : 33sec
[i] epoch : 86, D_loss : 0.43715, G_loss : 30.92950, G_fake_loss : 3.98226, G_style_loss : 26.94724, time : 33sec
[i] epoch : 87, D_loss : 0.46132, G_loss : 30.64379, G_fake_loss : 3.94790, G_style_loss : 26.69589, time : 33sec
[i] epoch : 88, D_loss : 0.46399, G_loss : 30.64310, G_fake_loss : 3.92583, G_style_loss : 26.71727, time : 33sec
[i] epoch : 89, D_loss : 0.38390, G_loss : 30.76647, G_fake_loss : 4.01437, G_style_loss : 26.75209, time : 33sec
[i] epoch : 90, D_loss : 0.46022, G_loss : 30.57222, G_fake_loss : 4.03620, G_style_loss : 26.53602, time : 33sec
[i] epoch : 91, D_loss : 0.44784, G_loss : 30.41028, G_fake_loss : 4.04523, G_style_loss : 26.36505, time : 34sec
[i] epoch : 92, D_loss : 0.45811, G_loss : 30.67484, G_fake_loss : 4.08097, G_style_loss : 26.59388, time : 33sec
[i] epoch : 93, D_loss : 0.41195, G_loss : 30.62519, G_fake_loss : 4.14633, G_style_loss : 26.47886, time : 33sec
[i] epoch : 94, D_loss : 0.43213, G_loss : 30.41786, G_fake_loss : 4.15355, G_style_loss : 26.26432, time : 33sec
[i] epoch : 95, D_loss : 0.42315, G_loss : 30.31794, G_fake_loss : 4.05923, G_style_loss : 26.25871, time : 33sec
[i] epoch : 96, D_loss : 0.41662, G_loss : 30.38843, G_fake_loss : 4.11206, G_style_loss : 26.27637, time : 33sec
[i] epoch : 97, D_loss : 0.44966, G_loss : 30.22943, G_fake_loss : 4.10876, G_style_loss : 26.12067, time : 33sec
[i] epoch : 98, D_loss : 0.42942, G_loss : 30.19937, G_fake_loss : 4.18139, G_style_loss : 26.01798, time : 33sec
[i] epoch : 99, D_loss : 0.40387, G_loss : 30.09376, G_fake_loss : 4.12903, G_style_loss : 25.96473, time : 33sec
